artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,86,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
Schoolgirl Byebye,"['chinese indie', 'sinogaze', 'southern china indie']","Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,audio_features,0UsmyJDsst2xhX1ZiFF3JW,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302,3
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Hills,7fBv7CLKzipRk6EC6TWHOB,86,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,242253,4
Iron Maiden,"['hard rock', 'metal', 'nwobhm', 'rock']",Wasted Years - 2015 Remaster,2V0T2LS0pf2r3EFpOEkZFO,56,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,audio_features,2V0T2LS0pf2r3EFpOEkZFO,spotify:track:2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/tracks/2V0T2LS0pf2r3EFpOEkZFO,https://api.spotify.com/v1/audio-analysis/2V0T2LS0pf2r3EFpOEkZFO,309640,4
Chris Stapleton,"['contemporary country', 'outlaw country']",Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,80,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293,4
Peach Pit,"['indie pop', 'modern alternative rock', 'modern rock', 'vancouver indie']",2015,42oBtzPU4fA5Vtfw2Xilgf,48,0.483,0.535,2,-6.95,1,0.0285,0.123,0.000773,0.243,0.327,75.642,audio_features,42oBtzPU4fA5Vtfw2Xilgf,spotify:track:42oBtzPU4fA5Vtfw2Xilgf,https://api.spotify.com/v1/tracks/42oBtzPU4fA5Vtfw2Xilgf,https://api.spotify.com/v1/audio-analysis/42oBtzPU4fA5Vtfw2Xilgf,181603,4
Beach House,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",Space Song,7H0ya83CMmgFcOhw0UB6ow,79,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,audio_features,7H0ya83CMmgFcOhw0UB6ow,spotify:track:7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/tracks/7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow,320467,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,26,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,audio_features,5rJw9VsPNdfnV9Ar97xZG2,spotify:track:5rJw9VsPNdfnV9Ar97xZG2,https://api.spotify.com/v1/tracks/5rJw9VsPNdfnV9Ar97xZG2,https://api.spotify.com/v1/audio-analysis/5rJw9VsPNdfnV9Ar97xZG2,182288,4
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,85,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,5E30LdtzQTGqRvNd7l6kG5,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173,4
Tori Amos,"['dark pop', 'ectofolk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",Silent All These Years - 2015 Remaster,5kRDK0lC01ceWWuXgkjYLi,42,0.48,0.228,4,-10.833,1,0.0354,0.936,1.11e-05,0.11,0.295,128.035,audio_features,5kRDK0lC01ceWWuXgkjYLi,spotify:track:5kRDK0lC01ceWWuXgkjYLi,https://api.spotify.com/v1/tracks/5kRDK0lC01ceWWuXgkjYLi,https://api.spotify.com/v1/audio-analysis/5kRDK0lC01ceWWuXgkjYLi,251240,4
