artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,90,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
Riff Raff,['trap'],Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,18,0.773,0.859,2,-6.459,1,0.0573,0.0044,0.00711,0.117,0.577,159.955,audio_features,4KoDsg2EbYPgqpXSrKqB7F,spotify:track:4KoDsg2EbYPgqpXSrKqB7F,https://api.spotify.com/v1/tracks/4KoDsg2EbYPgqpXSrKqB7F,https://api.spotify.com/v1/audio-analysis/4KoDsg2EbYPgqpXSrKqB7F,121500,4
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']",Classic,6FE2iI43OZnszFLuLtvvmg,82,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,175427,4
Kanye West,"['chicago rap', 'rap']",Bound 2,3sNVsP50132BTNlImLx70i,83,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,audio_features,3sNVsP50132BTNlImLx70i,spotify:track:3sNVsP50132BTNlImLx70i,https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i,https://api.spotify.com/v1/audio-analysis/3sNVsP50132BTNlImLx70i,229147,4
Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Please Come Home for Christmas - 2013 Remaster,3QIoEi8Enr9uHffwInGIsC,47,0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,183.18,audio_features,3QIoEi8Enr9uHffwInGIsC,spotify:track:3QIoEi8Enr9uHffwInGIsC,https://api.spotify.com/v1/tracks/3QIoEi8Enr9uHffwInGIsC,https://api.spotify.com/v1/audio-analysis/3QIoEi8Enr9uHffwInGIsC,177440,3
Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",First Class,1rDQ4oMwGJI7B4tovsBOxc,90,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4
Cage The Elephant,"['modern rock', 'punk blues', 'rock']",Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,79,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,audio_features,2tznHmp70DxMyr2XhWLOW0,spotify:track:2tznHmp70DxMyr2XhWLOW0,https://api.spotify.com/v1/tracks/2tznHmp70DxMyr2XhWLOW0,https://api.spotify.com/v1/audio-analysis/2tznHmp70DxMyr2XhWLOW0,208760,4
Mitski,"['brooklyn indie', 'indie pop']",Class of 2013,39bPZbBmJfBgNJUtbOua0D,62,0.439,0.22,0,-10.638,1,0.0428,0.939,3.1e-05,0.0969,0.121,125.201,audio_features,39bPZbBmJfBgNJUtbOua0D,spotify:track:39bPZbBmJfBgNJUtbOua0D,https://api.spotify.com/v1/tracks/39bPZbBmJfBgNJUtbOua0D,https://api.spotify.com/v1/audio-analysis/39bPZbBmJfBgNJUtbOua0D,109824,3
Melanie Martinez,"['alt z', 'electropop', 'pop']",Class Fight,37pf8jSeCGlzgQPIfVHO6X,67,0.767,0.707,6,-8.444,1,0.0489,0.42,5.16e-05,0.298,0.772,92.015,audio_features,37pf8jSeCGlzgQPIfVHO6X,spotify:track:37pf8jSeCGlzgQPIfVHO6X,https://api.spotify.com/v1/tracks/37pf8jSeCGlzgQPIfVHO6X,https://api.spotify.com/v1/audio-analysis/37pf8jSeCGlzgQPIfVHO6X,161065,4
Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']",Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,79,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,audio_features,3xdjjKMcMOFgo1eQrfbogM,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
